project,desc,knowledge
numpy,"Note that if you want None instead of NaN, then you'll need to make angles of dtype object, which is bad for performance... (Also, it is possible to just suppress RuntimeWarnings.",practice
scipy,"Mapping the sparse matrix onto the index lil directly might be more space efficient, but a lot more work to code.",practice
scipy,"Keep in mind that as your data grows, it will be much more efficient to find the nearest neighbors using a tree-based method like scipy.spatial.cKDTree:",practice
numpy,Then using np.unique  You could also probably use tuples instead of bitshifting and adding but that would probably make np.unique run a lot slower...,practice
numpy,vectorize is really just for convienience as far as I know it doesnt typically provide any speedup (at least any meaningful speedup),"rationale,attributes"
scipy,"For sure, both of these can be much slower than a single curve_fit, but they do aim at finding ""global minima"".",alternatives
numpy,"Numpy is another option, a lot of people have suggested it, but based on information found at Poor numpy.cross() performance , Nunpy may not be quite as suitable for the short arrays I'm dealing with, and I don't have much margin for parts of my script slowing down, as some pieces are run several times a second.",attributes
scipy,"I would have used lil rather than dok, but I'm not sure whether that's faster.",alternatives
tensorflow,"Regarding efficiency, note that skip(offset) actually iterates on offset examples so a latency is to be expected if offset is large.","functionality,attributes"
pandas,"For whatever reason, this is ~2x faster than using pivot_table.",alternatives
gensim,It's available on gensim Word2Vec/KeyedVectors as wmdistance() 閿?but is quite slow to compute pairwise on large datasets.,attributes
tensorflow,"I have been successfully parsing the files with numpy and converting the features and labels to tf.constants, but it seems like it would be way more memory efficient to load it straight into tensorflow.",practice
sklearn,"chi2) so that it handles sparse matrices without making them dense.
It is possible, this is mostly a trade-off between keeping the sparsity of matrices and using efficient array operations.",practice
tensorflow,"Q2. The claim the ""feed_dict is slow"" can be somewhat misleading, taken as a general truism (I am not blaming you for saying it, I have seen it many times too).",attributes
pandas,"To read the csv file, this is the code I wrote:
raw_df = pd.read_csv('testresult.csv', index_col=None, parse_dates=['TIME'], infer_datetime_format=True)
This code works, but it is extremely slow, and I assume that the infer_datetime_format takes time.",attributes
numpy,fromiter can be faster than np.array; but the builtin arange is much better.,alternatives
gensim,"(words is always a list of strings; tags can be a mix of integers and strings, but in the common and most-efficient case, is just a list with a single id integer, starting at 0.",impl
gensim,The real keys are to choose options that result in a smaller model (like a higher min_count); run on a machine with more RAM; and make sure you're not unnecessarily loading/keeping your full dataset in memory by mistake (by using an efficient streaming iterator as the corpus-of-texts).,practice
scipy,Very slow interpolation using `scipy.interpolate.griddata`,attributes
sklearn,"The reason why CountVectorizer will consume much more memory is that the CountVectorizer needs to store a vocabulary dictionary in memory, however, the HashingVectorizer has a better memory performance because it does not need to store the vocabulary dictionary.","impl,alternatives"
tensorflow,"tf.placeholder and tf.constant), and you should also have room for the gradients, as I believe a bunch of values are cached during the forward pass so that backprop doesn't become too slow.",practice
gensim,"So if your corpus IO is fast, and you're reading from pre-tokenized text (as with corpus_file), sample may outdo any bespoke corpus-slimming with minimal effort.",practice
sklearn,"Also MDS is pretty slow, have you tried other methods from manifold?",attributes
pandas,"@Shreya you don't want to use .apply, that will be essentially as slow as your loop.","attributes,practice"
numpy,"So first, a small list, the same from the OP's example, we see that numpy is not actually faster, which isn't surprising for small data structures:",attributes
sklearn,There is also sklearn.datasets.load_svmlight_format which is a fast and robust implementation of your code.,attributes
sklearn,I do not notice any performance improvements when using GaussianProcessRegressor on a machine which has 8 cores (16 threads) available or a machine which has 4 cores (8 threads).,"attributes,environment"
sklearn,the drop in the performance is due to the fact that the function train_test_split shuffles the data by default.,functionality
tensorflow,tf.gather_nd is really slow when used for many times,"attributes,practice"
scipy,"scipy.optimize.curve_fit), but they'll be slow and aren't guaranteed to converge.","attributes,functionality"
scipy,"The communication can slow down the computations, especially for short task with big inputs such as fftconvolve.
",environment
sklearn,One simple answer is to explore many possible combinations of C and intercept_scaling and choose the parameters that give the best performance.,practice
tensorflow,We have collected these in a performance guide for tf.data.,references
sklearn,The RandomForestClassifier works amazingly fast (~140 seconds on dataset of 50000 32X32 RGB images.,attributes
pandas,"Since this uses apply on string, it might be slow.","attributes,practice"
tensorflow,"So it would need to be correct_prediction.eval(feed_dict={x: batch_xs, y: batch_ys}) in order to run, be warned however that this is generally RAM intensive, and may cause your system to hang.","functionality,attributes"
numpy,"But if you the same indexes repeatedly, operating on .flat output array might be faster.",practice
tensorflow,"Note that, since this uses tf.reshape() and not tf.transpose(), it doesn't need to modify the (potentially large) data in the logits tensor, so it should be fairly efficient.","alternatives,functionality"
pandas,"You can either use fillna (fast) or you can use apply (slow but flexible)
Fillna","alternatives,practice"
pandas,"Using pandas.read_csv for the task, the time is less than other methods, but still slower than the above two methods.","attributes,alternatives"
sklearn,"For large text datasets, use the hashing trick: replace the TfidfVectorizer by a HashingVectorizer (potentially stacked with a TfidfTransformer in the pipeline): it will be much faster to pickle as you won't have to store the vocabulary dict any more as discussed recently in this question:","alternatives,practice"
pandas,It is about 1000x faster to use pd.merge:,"alternatives,practice"
pandas,"To find most frequent value i am using value_counts as suggested here, but facing performance issue(refer bellow snippet code)",attributes
numpy,genfromtxt is a bit faster than loadtxt:,alternatives
tensorflow,"This does not mean that dynamic_rnn is less performant, the documentation says that the parameter sequence_length will not affect the performance because the computation is already dynamic.",functionality
numpy,"As @Divakar mentioned, vectorize is really just a convenient way around writing a for loop, so your code will be slower than numpy's native code.",impl
tensorflow,"Nevertheless, the performance difference comes from the fact that GradientDescentOptimizer uses a single optimized kernel.",impl
pandas,is_lexsorted is very fast.,attributes
scipy,"I have tried using both scipy.sparse.linalg.lsqr and scipy.sparse.linalg.lsmr, but they both require that b be dense, which is computationally very expensive and prohibitive.",attributes
sklearn,"fit_transform may be more convenient and efficient for modelling and
  transforming the training data simultaneously.
",functionality
pandas,"l=[df.A.eq(1),df.A.isin([2,3,4]),df.A.eq(5)] and then df['B']=np.select(l,['low','mid','high']) ill do it faster.",practice
pandas,"len is typically slower than 'size', as it's a python built-in instead of numpy under the hood.",alternatives
gensim,"This model is dedicated for saving pre-trained vectors ""resulting in a much smaller and faster object"" than Word2Vec model.","rationale,functionality"
numpy,"For the small dimensions that you quote, np.einsum and transposition seem to be faster.",attributes
gensim,"The lemmatize() function seems to be the main bottleneck, as a gensim function such as simple_preprocess is quite fast.",attributes
sklearn,"Fortunately, sklearn also contains sklearn.linear_model.ElasticNetCV, which allows very efficient and convenient searching for the values of these penalty terms.",functionality
pandas,The fastest and easiest way is to use .as_matrix().,practice
tensorflow,"Instead, the ""simple placer"" (whose implementation can be found in simple_placer.cc) is used, but it requires some explicit annotations (via tf.device()) to make yield an efficient placement.",impl
sklearn,I'd like to use LinearSVC over SVC because LinearSVC seems to train faster on data with many attributes.,"attributes,practice"
tensorflow,I am training a CNN and I believe my use of sess.run() is causing my training to be very slow.,attributes
scipy,"If you want to obtain a sparse matrix as output the fastest way to do row slicing is to have a csr type, and for columns slicing csc, as detailed here.",functionality
pandas,Using apply is less efficient than np.where since you need a python abstraction.,alternatives
numpy,"The equivalent using np.where: a[np.where((b==4) & (c==3))[0]] (not needed, probably even worse performance, but just for adding another option).",alternatives
scipy,"point_tree = spatial.cKDTree(points); point_tree.sparse_distance_matrix(point_tree, thresh).tocsr() is a pithy way to write this, but it doesn't appear to be faster than make_sparse_dm.",practice
scipy,"For large arrays, scipy.signal.fftconvolve is faster.",attributes
numpy,"It's worth checking if compression is worth it on total transfer time; it might be faster (and less memory intensive), if you're using a stream-oriented pipe/socket/whatever, to pass it as the argument for numpy.save; depending on implementation, you might manage to begin writing to the socket immediately, without additional memory overhead.",practice
gensim,"If so, other steps may help:

ensure you're using gensim's Cython-optimized routines 閿?if not, you should be seeing a logged warning (and training will be up to 100X slower)
consider using a workers=4 or workers=8 optional argument to use more threads, if your machine has at least 4 or 8 CPU cores
consider using a larger min_count, which speeds training somewhat (and since vectors for words where there are only a few examples typically aren't very good anyway, doesn't lose much and can even improve the quality of the surviving words)
consider using a smaller window, since training takes longer for larger windows
consider using a smaller size, since training takes longer for larger-size vectors
consider using a more-aggressive (smaller) value for the optional sample argument, which randomly skips more of the most-frequent words.",practice
gensim,"Using the cached unit-normed vectors is much faster, if they're available, especially for an operation like most_similar() which must calculate a value for every vector in the model 閿?and thus also uses bulk array operations on the full vector array, rather than the one-at-a-time calcs relied upon by most_similar_to_given().","practice,functionality"
numpy,"Yes, the np.empty approach does look faster.",attributes
gensim,"Not sure where your remarks on Dictionary performance come from, you can't get a mapping much faster than a plain dict in Python.",alternatives
numpy,"A memory efficient approach would be to convert each row as linear index equivalents and then using np.in1d, like so -","alternatives,practice"
numpy,I have run the assignment tests multiple time and always get small difference but noticeably faster times for zeros_like arrays.,alternatives
sklearn,"est.fit_transform(X) is always equivalent to est.fit(X).transform(X), but usually faster.",alternatives
scipy,"scipy can read a couple of sparse matrix formats (see scipy.io) but not your format, which is essentially the one ""being phased out"" in the Matrix Market because it's not very space efficient.","rationale,functionality"
sklearn,scikit-learn SVM.SVC() is extremely slow,attributes
pandas,I thought of using pandas df.iterrows() or df.itertuples() but it is really slow.,practice
tensorflow,"There are also similar question: Unaggregated gradients / gradients per example in tensorflow , of course, we can do runtime tf.while_loop over batch size, and get single gradient one by one, but that will kill the performance.",practice
numpy,"array() is trying to pack your values in the most efficient way possible, because you're not specifying dtype, and it has to guess at how to store it.",functionality
gensim,"(most_similar_to_given() could, and perhaps should, use the same cached values, but wouldn't get as much of a speedup.)",attributes
pandas,"I agree this process maybe slow but taking str type in consideration, we may serve our purpose.",practice
tensorflow,So I fixed with keras.backend.clear_session() but it was too slow to recreate the session on each request.,attributes
sklearn,"For high dimensional sparse data and many samples, LinearSVC, LogisticRegression, PassiveAggressiveClassifier or SGDClassifier can be much faster to train for comparable predictive accuracy.
","attributes,alternatives"
scipy,It seems that percentileofscore is a lot slower.,attributes
gensim,"That also will speed up your solution (and if the document is really big, it shouldn't be a problem anyway).
What's the problem with summarize:",practice
pandas,"(Applying drop_duplicates to the entire DataFrame is significantly faster than my
first answer, which used a custom function to call drop_duplicates on each group.)",practice
scipy,I would expect the KDTree method to be faster since it doesn't need to consider every possible pair of points.,attributes
tensorflow,"Ideally, you would only create a single tf.Session as well, because TensorFlow caches information about the graph in the session, and the execution would be more efficient.",functionality
pandas,"If the apply(f) is called on a dataframe of considerable row size, it will cause tremendous performance problems (time + memory), because function calls in python are horrendous.",attributes
pandas,@tripleee tail will underperform much faster than RAM limit.,attributes
scipy,The documentation does mention that coo_matrix is not efficient for arithmetic operations and we need to convert it to csr or csc.,attributes
scipy,Sparse eigenvalues : scipy.sparse.linalg.eigs is slower than scipy.linalg.eigvals,alternatives
sklearn,For speedup on LogisticRegression I use LogisticRegressionCV (which at least 2x faster) and plan use GridSearchCV for others.,alternatives
sklearn,You can use sklearn.externals.joblib.dump for efficient pickling.,functionality
numpy,"I can do the same thing without a loop: np.sqrt(np.sum( np.square(X-Y[:,None,:]), axis=2)) , but timings are a bit slower.",practice
numpy,"np.vectorize does not improve performance, and regardless, that is not an array of dataframes, but a list.",attributes
sklearn,However it is very likely that if you have performance issues with sklearn.svm.SVC should you use a more scalable model instead.,practice
numpy,Wouldn't np.where be faster for a binary choice?,attributes
gensim,I am aware of the fact that gensim's Dictionary objects are much more complex (and slower to compute) than scikit's vect.vocabulary_ (a simple Python dict)...,alternatives
numpy,Worst case performance (arrays equal) is equivalent to np.all and in case of early stopping the compiled function has the potential to outperform np.all a lot.,"alternatives,practice"
scipy,It solved my problem.. Do you know why this method is far faster than scipy.interpolate.griddata?,alternatives
scipy,Iteration calling stats.norm.pdf() runs slow,attributes
pandas,"I tested that comprehension versus df.iloc[:, 1:].values and the comprehension + np.column_stack is much faster.","alternatives,practice"
scipy,"I ran a test on using Q.getrow(i) vs. Q[i, :], and found the former to be 20x faster.",alternatives
sklearn,"Between SVC and LinearSVC, one important decision criterion is that LinearSVC tends to be faster to converge the larger the number of samples is.","attributes,alternatives"
pandas,I want to stick to str.contains because it is so much faster than the other python string matching algorithms.,alternatives
gensim,"2) This distance function is called by multiple users from different points which repeat this whole process of model.wmdistance(doc1, doc2) for the same other_sentences and it is computationally expensive.","attributes,practice"
tensorflow,But with tf.random_uniform I see that the GPU is faster (as I had expected).,environment
gensim,"But, with these sorts of models, you want to avoid relying on any virtual memory, as basic most_similar() operations cycle through the full model, & will be very slow if they're reading from disk each time.)",functionality
pandas,This is much faster than using Series.str.,"practice,alternatives"
gensim,"The default is 1e-04, but values of 1e-05 or 1e-06 (especially on larger corpuses) can offer additional speedup, and even often improve the final vectors (by spending relatively less training time on words with an excess o usage examples)
consider using a lower-than-default (5) value for the optional iter parameter.","attributes,practice"
gensim,"Models with larger internal vector-arrays can't be saved via Python 'pickle' to a single file, so beyond a certain threshold, the gensim save() method will store subsidiary arrays in separate files, using the more-efficient raw format of numpy arrays (.npy format).","functionality,impl"
pandas,"We can do something like: df.index.map(lambda x: ContinentDict.get(x)), but your solution should be faster...","alternatives,practice"
pandas,"Although reindex_axis seems to be slightly faster in micro benchmarks than reindex, I think I prefer the latter for its directness.",alternatives
sklearn,"You should try it anyhow, because it will probably be a lot faster than PCA for large datasets, even if you compute all components (assuming n_features is not huge).",alternatives
gensim,"It does things in a reasonable way for that data-format-on-disk, but any other efficient way of getting your data into a repeat-iterable sequence of TaggedDocument-like objects is just as good.",practice
scipy,"There are two immediate performance improvements (1) do not use a loop, (2) use scipy.linalg.solve_banded().",practice
scipy,"It's basically moot anyway, as I've found that running interp1d >100k times is prohibitively slow.",attributes
pandas,"I have already used c.itertuples() for efficiency, however since c has millions of rows, this code is still too time consuming.",attributes
numpy,"This won't be faster, but for cleaner code, you can use np.apply_over_axes: np.apply_over_axes(np.cumsum, X, axes=[0,1])",practice
numpy,"I tried circumventing the conversion and simply iterate over the np.ndindex object as described here and here but iterating over the whole iterator is slow for ~ 2 billion data points.
np.random.choice(data.stack(newdim=('latitude','variable','longitude','time')),k,replace=False) returns the desired subset of data points, but does not set them to nan
",practice
gensim,"re-inferring all document vectors, at the end of training, perhaps even using parameters different from infer_vector() defaults, such as infer_vector(tokens, steps=50, alpha=0.025) 閿?while quite slow, this means all docs get vectors from the same final model state, rather than what's left-over from bulk training
",practice
numpy,"While it's 4x faster, my images are fairly large and I feel like we can come up with fully vectorized solution instead of using np.apply_along_axis or iteration.","practice,alternatives"
sklearn,"For performance reasons, it is probably better to use TruncatedSVD for sparse matrices instead of densifying the data and applying PCA.",alternatives
sklearn,In practice SGDClassifier is even faster for fitting linear SVM models in scikit-learn.,practice
pandas,"To illustrate performance issues with pd.Series.str, you can see for larger dataframes how the more operations you pass to Pandas, the more performance deteriorates:
list as elements in pd.Series is also anti-Pandas",attributes
tensorflow,Tensorflow tf.constant_initializer is very slow,attributes
scipy,"On a side note, this is a good candidate for scipy.ndimage.generic_filter, though that's likely to be slower than your strided approach.",alternatives
scipy,"lil_matrix((uniqueUsers, uniqueItems)) should be fast since it doesn't have to do anything; just make an empty matrix.","attributes,functionality"
gensim,"As I say above, if you do not need the (topic_id, probability) pairs then it's going to be faster to call .inference yourself.",practice
pandas,"I read recently that the former is much slower if there are string columns (object dtype), 'cause Pandas cannot know in advance the underlying data type (which may as well be a python numeric type; non-numpy though) and then it tries to calculate the mean anyway for object columns, and ends up concatenating string columns only to find out it cannot be divided by n and only then discards the column",functionality
pandas,There is a fast way to keep only the unique rows: df3 = df1.reindex(set(index)).,practice
gensim,The model file is a Python pickle of the main model; the other files are some of the over-large numpy arrays stored separately for efficiency.,"functionality,rationale"
numpy,"You can pass it a ctypes function for increased performance, but normal Python functions will be very slow.
The simps function and related sampling methods can be passed a vector of (typically evenly-spaced) samples, but aren't adaptive.
",attributes
tensorflow,"Slightly besides the point, but I wanted to mention that this does seem to slow down severely if there are more than a few calls to concatenate.",attributes
scipy,If you want an optimiser which is usually faster than scipy.optimize I suggest you to have a look at Pyomo fyi.,alternatives
pandas,"You can use reindex or reindex_axis, what is faster as loc:",alternatives
tensorflow,[ I read at tensorflow docs that feed_dict is slow and should use only for dev propose.,"attributes,practice"
numpy,"It's working when I use np.hstack instead of np.append, but I would like to make this faster, so use append.
",alternatives
sklearn,"On a 1000x800 random matrix, your answer is faster than even the sklearn.preprocessing.normalize.","alternatives,practice"
numpy,"If I use numpy.array, np.linalg.norm will be faster.",attributes
numpy,The nested einsum is about twice as fast as cross for the largest n tested.,alternatives
sklearn,"An example is stop_words_ for a TfidfVectorizer (see the docs).
If the steps are storing large numpy arrays, joblib.dump (from sklearn.externals import joblib) can be a more memory-efficient alternative to pickle.
Training many binary classifiers",alternatives
pandas,"As a slight improvement to your solution, I would recommend a simple rsplit閳ユ攧f.FileName.str.rsplit('.', 1).str[-1]... this splits only once from the right, so should be more efficient.",practice
tensorflow,"So far I was using keras with a tensorflow backend, but I noticed the fft was kinda slow (cf this issue on Github).",attributes
tensorflow,@martianwars in my pc with re-run sess.run() time is not fast,attributes
gensim,"When internal arrays of a gensim model outgrow a certain threshold, they'll be save()d as separate files, for both efficiency and to avoid limitation of plain-pickle()ing.","functionality,impl"
pandas,apparently pandas concat function is smart enough that it's faster to append to the list (pandas.pydata.org/pandas-docs/stable/閿?,"practice,references"
pandas,It should be more efficient than DataFrame.append.,practice
pandas,For improve performance use map:,practice
pandas,"If you remove this answer, and then make your final loads(df.to_json()) your answer, I'll give you an upvote because it's the second fastest solution to the problem.",alternatives
numpy,"On my system, for a vector with 10000 elements repeated 1000 times, the tile method is 19.5 times faster than the method in the currently accepted answer (using the multiplication-operator-method).",alternatives
pandas,Most answers use apply() which is known to be slower than built-in vector function solutions.,attributes
tensorflow,"Right now I'm output_seq = output_seq + tf.pad(chunk, [[start, length - end]]) but that's really slow on long sequences.",practice
pandas,"One solution that gives me around 8x speedup is to roll over a pd.Series of indices, and using the resulting indices with Rolling.apply:",practice
tensorflow,This is likely to change in the future since generating the GraphDef directly is both more error prone and less performant (since the GraphDef has to be serialized and deserialized before the Graph is understood by the runtime).,attributes
tensorflow,"To optimize performance when using GCS add prefetch(AUTOTUNE) to your tf.data pipeline, and for small (<50GB) datasets use cache().",practice
pandas,I think converting to Series and then back is not good idea - reshaping is very slow.,"attributes,practice"
scipy,UPDATE: Using scipy.stats.spearmanr is 20x faster,alternatives
sklearn,If you want to do vanilla PCA on sparse data you should use sklearn.decomposition.RandomizedPCA that implements an scalable approximate method that works on both sparse and dense data.,functionality
numpy,"However, based on my timings, using np.unique doesn't add enough overhead to make any of the other solutions faster than this one.",alternatives
gensim,"(But, you'd still not have them all in memory, which can be crucial for adequately-fast scans for most_similar() or other full-corpus comparisons).",functionality
numpy,"It tends to be much faster if idx is already an ndarray and not a list, even though it'll work either way:",practice
tensorflow,It works and much more efficient than tf.scan.,practice
pandas,"(Although I'd recommend either fillna(0) or leaving it as nan; if you fill with an empty string to look like your desired output, the column has to have object dtype and those are much slower than int or float.",practice
sklearn,"If you train a model with L1 penalty, you can call sparsify on the trained model to convert its weight matrix to a more space-efficient format.",functionality
pandas,"Also, the best way to speed up an apply call is to not use apply.",practice
tensorflow,I thought that this will be more efficient than the feed_dict method.,practice
scipy,"If you are worried about performance, using a linear regression will be much faster than an iterative curve_fit().",alternatives
pandas,"I think something like df.loc[slice, another_slice] should be less memory intensive than df.loc[slice].loc[:, another_slice].",practice
scipy,I already use numpy and scipy to create things like diffusion maps for which scipy.convolve2d has been extraordinary helpful and fast.,attributes
numpy,You could also experiment with numpy.memmap to see if it improves performance:,alternatives
pandas,"But better is used vectorized faster solution with div:
",practice
tensorflow,"The fastest way to increment a single element is likely to be scatter_nd_add, as in (modifying your example):",functionality
numpy,I'm not sure if this is the fastest way but you can consider to use np.where,alternatives
pandas,"Very nice :) I always thought that merge is preferred technique, also I recall reading merge should be very fast but timings have the last word.",attributes
tensorflow,"Yes: in fact, you should use tf.where() when the computation on either side of the condition is inexpensive, and use tf.cond() where the computation is expensive enough that you'd prefer to do it only when necessary.",practice
sklearn,"The Dask-ML has scalable implementations  GridSearchCV and RandomSearchCV that are, I believe, drop in replacements for Scikit-Learn.",alternatives
pandas,"IIUC, you can use pd.get_dummies, after you drop duplicates, which will be faster and result in cleaner code than doing it iteratively:",practice
scipy,"On my trials, this runs about 300 times faster than scipy.stats.randint, which is part of a system designed more for generality than speed.",alternatives
numpy,"Why the performance difference between numpy.zeros and numpy.zeros_like? explores how empty, zeros and zeros_like are implemented.
","alternatives,references"
numpy,"But, filling a new allocated memory with numpy.zeros is nearly twice as fast, as filling an existing array with numpy.fill, and three times faster than item setting x[:] = 0.",alternatives
tensorflow,"For another, an operation may have a side effect and produce a large output閳ユ敃ee tf.assign() for an example閳ユ攣nd it is often more efficient to pass the tf.Operation to sess.run() so that the value is not copied back into the Python program.","functionality,practice"
tensorflow,"However, tf.gradients() reduces performance greatly by tenfold or more.",attributes
tensorflow,The code becomes even more slower when I add an extra session.run() statement to print some values during the training process.,attributes
tensorflow,Too slow for converting to tf.constant when list contains 1000000 elems,attributes
numpy,@tel yeah it's bit slower than your answer as there's condition check in np.where,"functionality,alternatives"
pandas,"for performance, it's often beneficial to store all of the DFs in a list and postpone calling concat until the end.",practice
scipy,"And since the csr constructor is compiled, it will to that summation faster than anything you could code in Python.","attributes,impl"
pandas,I've also tried df.query() but it's 66% slower than the Pythonic filter and does not change the complexity.,"alternatives,attributes"
tensorflow,"You may think the tf.nn.static_rnn is faster than its dynamic counterpart because it pre-builds the graph.
",alternatives
sklearn,GridSearchCV doesn't just spawn 2 jobs for 2 CPUs because the process of spawing jobs on-demand is expensive.,functionality
