project,desc,knowledge
numpy,"When writing C code, this is generally fine, however in pure Python code
 this can cause a significant reduction in performance.",Usage Practice
numpy,"For completeness, we'll also add the 'external_loop' and 'buffered'
 flags, as these are what you will typically want for performance
 reasons.",Purpose & Rationale
numpy,"This may be slightly
    faster than calling npy_half_eq(h, NPY_ZERO).",Comparison w/ Alternatives
numpy,"|
 +-------------+----------------------------+-----------------------------------+
 |  cross1d    | ``(3),(3)->(3)``           | cross product where the last      |
 |             |                            | dimension is frozen and must be 3 |
 +-------------+----------------------------+-----------------------------------+
 
 .. _frozen:
 
 The last is an instance of freezing a core dimension and can be used to
 improve ufunc performance
 
 C-API for implementing Elementary Functions
 -------------------------------------------
 
 The current interface remains unchanged, and ``PyUFunc_FromFuncAndData``
 can still be used to implement (specialized) ufuncs, consisting of
 scalar elementary functions.","Functionality & Behavior,Usage Practice"
numpy,"*   flag NPY_ITER_EXTERNAL_LOOP
          *     - Inner loop is done outside the iterator for efficiency.","Implementation Details,Purpose & Rationale"
numpy,"*       This is good for performance when the specific order
          *       elements are visited is unimportant.",Performance Attribute
numpy,"*/
         iter = NpyIter_New(self, NPY_ITER_READONLY|
                                  NPY_ITER_EXTERNAL_LOOP|
                                  NPY_ITER_REFS_OK,
                             NPY_KEEPORDER, NPY_NO_CASTING,
                             NULL);
         if (iter == NULL) {
             return -1;
         }
 
         /*
          * The iternext function gets stored in a local variable
          * so it can be called repeatedly in an efficient manner.","Implementation Details, Purpose & Rationale"
numpy,"*/
         if (innerstride == itemsize) {
             do {
                 memcpy(dataptrarray[1], dataptrarray[0],
                                         itemsize * (*innersizeptr));
             } while (iternext(iter));
         } else {
             /* For efficiency, should specialize this based on item size... */
             npy_intp i;
             do {
                 npy_intp size = *innersizeptr;
                 char *src = dataptrarray[0], *dst = dataptrarray[1];
                 for(i = 0; i < size; i++, src += innerstride, dst += itemsize) {
                     memcpy(dst, src, itemsize);
                 }
             } while (iternext(iter));
         }
 
         /* Get the result from the iterator object array */
         ret = NpyIter_GetOperandArray(iter)[1];
         Py_INCREF(ret);
 
         if (NpyIter_Deallocate(iter) != NPY_SUCCEED) {
             Py_DECREF(ret);
             return NULL;
         }
 
         return ret;
     }
 
 
 Iterator Data Types
 ---------------------
 
 The iterator layout is an internal detail, and user code only sees
 an incomplete struct.",Usage Practice
numpy,"For
     efficient iteration, :c:type:`NPY_KEEPORDER` is the best option, and
     the other orders enforce the particular iteration pattern.",Usage Practice
numpy,"For
     efficient iteration, :c:data:`NPY_KEEPORDER` is the best option, and the
     other orders enforce the particular iteration pattern.",Usage Practice
numpy,"*WARNING*: For performance reasons, 'iop' is not bounds-checked,
     it is not confirmed that 'iop' is actually a reduction operand,
     and it is not confirmed that EXTERNAL_LOOP mode is enabled.","Implementation Details,Purpose & Rationale"
numpy,"Thus, to
     get good performance, it is required that the function pointer
     be saved in a variable rather than retrieved for each loop iteration.","Directives,Purpose & Rationale"
numpy,"Once the iterator is prepared for iteration (after a reset if
     :c:data:`NPY_DELAY_BUFALLOC` was used), call this to get the strides
     which may be used to select a fast inner loop function.",Usage Practice
numpy,":attr:`nomask` is used internally to speed up computations when the mask
    is not needed.",Implementation Details
numpy,"This mechanism is
 slower than a single loop, but gives more flexibility.",Purpose & Rationale
numpy,"In particular,
 :func:`~numpy.genfromtxt` is able to take missing data into account, when
 other faster and simpler functions like :func:`~numpy.loadtxt` cannot.",Comparison w/ Alternatives
numpy,"However, it is
 significantly slower than setting the dtype explicitly.",Comparison w/ Alternatives
numpy,"It should be emphasized at this point that you may not need the array
 iterator if your array is already contiguous (using an array iterator
 will work but will be slower than the fastest code you could write).",Usage Practice
numpy,"In other words, code like this will probably be
 faster for you in the contiguous case (assuming doubles).",Usage Practice
numpy,"As
 function calls can be time consuming, one way to speed up this kind of
 algorithm is to write the function so it takes a vector of data and
 then write the iteration so the function call is performed for an
 entire dimension of data at a time.",Usage Practice
numpy,"We can use this to further speed up our code, at the expense of safety
 (or a manual check prior to entering the loop).",Usage Practice
numpy,"non-contiguous arrays) and may
 also run faster depending on the optimization capability of your
 compiler.",Functionality & Behavior
numpy,"For example, if a python interpreter is opened in the file containing
 the spam library or spam has been installed, one can perform the
 following commands:
 
 >>> import numpy as np
 >>> import spam
 >>> spam.logit(0)
 -inf
 >>> spam.logit(1)
 inf
 >>> spam.logit(0.5)
 0.0
 >>> x = np.linspace(0,1,10)
 >>> spam.logit(x)
 TypeError: only length-1 arrays can be converted to Python scalars
 >>> f = np.vectorize(spam.logit)
 >>> f(x)
 array([       -inf, -2.07944154, -1.25276297, -0.69314718, -0.22314355,
     0.22314355,  0.69314718,  1.25276297,  2.07944154,         inf])
 
 THE RESULTING LOGIT FUNCTION IS NOT FAST!",Performance Attribute
numpy,This is expensive.,Performance Attribute
numpy,"When the author compared numpy.vectorize(spam.logit) against the
 logit ufuncs constructed below, the logit ufuncs were almost exactly
 4 times faster.",Comparison w/ Alternatives
numpy,"These minimize the necessity of
 growing arrays, an expensive operation.",Purpose & Rationale
numpy,"There are also
cases where broadcasting is a bad idea because it leads to inefficient use of
memory that slows computation.",Performance Attribute
numpy,"This
 encapsulates *n*-dimensional arrays of homogeneous data types, with
 many operations being performed in compiled code for performance.","Implementation Details, Functionality & Behavior, Purpose & Rationale"
numpy,"Without
  vectorization, our code would be littered with inefficient and
  difficult to read ``for`` loops.",Purpose & Rationale
pandas,"We do require that your array be convertible to a NumPy array, even if
 this is relatively expensive (as it is for ``Categorical``).",Directives
pandas,"If developing an ``ExtensionArray`` subclass, for example ``MyExtensionArray``,
 can simply include ``ExtensionScalarOpsMixin`` as a parent class of ``MyExtensionArray``,
 and then call the methods :meth:`~MyExtensionArray._add_arithmetic_ops` and/or
 :meth:`~MyExtensionArray._add_comparison_ops` to hook the operators into
 your ``MyExtensionArray`` class, as follows:
 
 .. code-block:: python
 
     from pandas.api.extensions import ExtensionArray, ExtensionScalarOpsMixin
 
     class MyExtensionArray(ExtensionArray, ExtensionScalarOpsMixin):
         pass
 
 
     MyExtensionArray._add_arithmetic_ops()
     MyExtensionArray._add_comparison_ops()
 
 
 .. note::
 
    Since ``pandas`` automatically calls the underlying operator on each
    element one-by-one, this might not be as performant as implementing your own
    version of the associated operators directly on the ``ExtensionArray``.","Usage Practice,Implementation Details"
pandas,"Note that his can be an expensive operation when your :class:`DataFrame` has
 columns with different data types, which comes down to a fundamental difference
 between pandas and NumPy: **NumPy arrays have one dtype for the entire array,
 while pandas DataFrames have one dtype per column**.",Usage Practice
pandas,"For ``df``, our :class:`DataFrame` of all floating-point values,
 :meth:`DataFrame.to_numpy` is fast and doesn't require copying data.","Functionality & Behavior,Performance Attribute"
pandas,".. ipython:: python
 
    df.to_numpy()
 
 For ``df2``, the :class:`DataFrame` with multiple dtypes,
 :meth:`DataFrame.to_numpy` is relatively expensive.",Usage Practice
pandas,For getting fast access to a scalar (equivalent to the prior method):,Functionality & Behavior
pandas,"When your DataFrame contains a mixture of data types, :attr:`DataFrame.values` may
    involve copying data and coercing values to a common dtype, a relatively expensive
    operation.",Implementation Details
pandas,"When
 set to True, the passed function will instead receive an ndarray object, which
 has positive performance implications if you do not need the indexing
 functionality.","Functionality & Behavior,Performance Attribute"
pandas,"While the syntax for this is straightforward albeit verbose, it
 is a common enough operation that the :meth:`~DataFrame.reindex_like` method is
 available to make this simpler:
 
 .. ipython:: python
    :suppress:
 
    df2 = df.reindex(['a', 'b', 'c'], columns=['one', 'two'])
    df3 = df2 - df2.mean()
 
 
 .. ipython:: python
 
    df2
    df3
    df.reindex_like(df2)
 
 .. _basics.align:
 
 Aligning objects with each other with ``align``
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 
 The :meth:`~Series.align` method is the fastest way to simultaneously align two objects.",Functionality & Behavior
pandas,"This converts the rows to Series objects, which can change the dtypes and has some
   performance implications.","Functionality & Behavior, Performance Attribute"
pandas,"This is a lot faster than
   :meth:`~DataFrame.iterrows`, and is in most cases preferable to use
   to iterate over the values of a DataFrame.","Comparison w/ Alternatives,Usage Practice"
pandas,".. warning::
 
   Iterating through pandas objects is generally **slow**.",Usage Practice
pandas,"See the :ref:`enhancing performance <enhancingperf>` section for some
     examples of this approach.",Ref
pandas,"For example,
 
    .. ipython:: python
 
       df_orig = pd.DataFrame([[1, 1.5]], columns=['int', 'float'])
       df_orig.dtypes
       row = next(df_orig.iterrows())[1]
       row
 
    All values in ``row``, returned as a Series, are now upcasted
    to floats, also the original integer value in column `x`:
 
    .. ipython:: python
 
       row['int'].dtype
       df_orig['int'].dtype
 
    To preserve dtypes while iterating over the rows, it is better
    to use :meth:`~DataFrame.itertuples` which returns namedtuples of the values
    and which is generally much faster than :meth:`~DataFrame.iterrows`.","Comparison w/ Alternatives,Usage Practice"
pandas,"Therefore,
 :meth:`~DataFrame.itertuples` preserves the data type of the values
 and is generally faster as :meth:`~DataFrame.iterrows`.","Comparison w/ Alternatives,Functionality & Behavior"
pandas,"For a large ``Series`` this can be much
 faster than sorting the entire Series and calling ``head(n)`` on the result.","Usage Practice,Comparison w/ Alternatives"
pandas,"|with|_
 ~~~~~~~~
 
 An expression using a data.frame called ``df`` in R with the columns ``a`` and
 ``b`` would be evaluated using ``with`` like so:
 
 .. code-block:: r
 
    df <- data.frame(a=rnorm(10), b=rnorm(10))
    with(df, a + b)
    df$a + df$b  # same as the previous expression
 
 In ``pandas`` the equivalent expression, using the
 :meth:`~pandas.DataFrame.eval` method, would be:
 
 .. ipython:: python
 
    df = pd.DataFrame({'a': np.random.randn(10), 'b': np.random.randn(10)})
    df.eval('a + b')
    df.a + df.b  # same as the previous expression
 
 In certain cases :meth:`~pandas.DataFrame.eval` will be much faster than
 evaluation in pure Python.","Usage Practice,Comparison w/ Alternatives"
pandas,"As a result, supporting efficient indexing and functional
 routines for ``Series``, ``DataFrame`` and ``Panel`` has contributed to an increasingly fragmented and
 difficult-to-understand code base.",Purpose & Rationale
pandas,"When using ndarrays to store 2- and 3-dimensional
 data, a burden is placed on the user to consider the orientation of the data
 set when writing functions; axes are considered more or less equivalent (except
 when C- or Fortran-contiguousness matters for performance).",Implementation Details
pandas,"For example:
 
 .. ipython:: python
 
  闁縟f.columns  # original MultiIndex
 
    df[['foo','qux']].columns  # sliced
 
 This is done to avoid a recomputation of the levels in order to make slicing
 highly performant.","Implementation Details,Purpose & Rationale"
pandas,"It will also
 return a copy of the data rather than a view:
 
 .. ipython:: python
 
    dfm = pd.DataFrame({'jim': [0, 0, 1, 1],
                        'joe': ['x', 'x', 'z', 'y'],
                        'jolie': np.random.rand(4)})
    dfm = dfm.set_index(['jim', 'joe'])
    dfm
 
 .. code-block:: ipython
 
    In [4]: dfm.loc[(1, 'z')]
    PerformanceWarning: indexing past lexsort depth may impact performance.",Usage Practice
pandas,".. ipython:: python
 
    arr = np.random.randn(10)
    arr.take([False, False, True, True])
    arr[[0, 1]]
 
    ser = pd.Series(np.random.randn(10))
    ser.take([False, False, True, True])
    ser.iloc[[0, 1]]
 
 Finally, as a small note on performance, because the ``take`` method handles
 a narrower range of inputs, it can offer performance that is a good deal
 faster than fancy indexing.","Functionality & Behavior,Comparison w/ Alternatives"
pandas,"This is a container around a :class:`Categorical`
 and allows efficient indexing and storage of an index with a large number of duplicated elements.",Functionality & Behavior
pandas,".. ipython:: python
   s.index.set_names(['L1', 'L2'], inplace=True)
   s.sort_index(level='L1')
   s.sort_index(level='L2')
On higher dimensional objects, you can sort any of the other axes by level if
they have a ``MultiIndex``:
.. ipython:: python
   df.T.sort_index(level=1, axis=1)
Indexing will work even if the data are not sorted, but will be rather
inefficient (and show a ``PerformanceWarning``).","Functionality & Behavior, Performance Attribute"
pandas,"This has
     some performance implication if you have a ``Series`` of type string, where lots of elements
     are repeated (i.e.",Usage Practice
pandas,"In this case it can be faster to convert the original ``Series``
     to one of type ``category`` and use ``.str.<method>`` or ``.dt.<property>`` on that.",Usage Practice
pandas,See also the section on :ref:`merge dtypes<merging.dtypes>` for notes about preserving merge dtypes and performance.,Ref
pandas,"This is a container around a ``Categorical``
 and allows efficient indexing and storage of an index with a large number of duplicated elements.",Functionality & Behavior
pandas,".. ipython:: python
     :suppress:
 
     for i in range(3):
         os.remove('file_{}.csv'.format(i))
 
 Parsing date components in multi-columns
 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
 
 Parsing date components in multi-columns is faster with a format
 
 .. ipython:: python
 
     i = pd.date_range('20000101', periods=10000)
     df = pd.DataFrame({'year': i.year, 'month': i.month, 'day': i.day})
     df.head()
     %timeit pd.to_datetime(df.year * 10000 + df.month * 100 + df.day, format='%Y%m%d')
     ds = df.apply(lambda x: ""%04d%02d%02d"" % (x['year'],
                                               x['month'], x['day']), axis=1)
     ds.head()
     %timeit pd.to_datetime(ds)
 
 
 Skip row between header and data
 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
 
 .. ipython:: python
 
     data = """""";;;;
      ;;;;
      ;;;;
      ;;;;
      ;;;;
      ;;;;
     ;;;;
      ;;;;
      ;;;;
     ;;;;
     date;Param1;Param2;Param4;Param5
         ;m闁块柟铏圭吙m闁縨
     ;;;;
     01.01.1990 00:00;1;1;2;3
     01.01.1990 01:00;5;3;4;5
     01.01.1990 02:00;9;5;6;7
     01.01.1990 03:00;13;7;8;9
     01.01.1990 04:00;17;9;10;11
     01.01.1990 05:00;21;11;12;13
     """"""
 
 Option 1: pass rows explicitly to skip rows
 """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
 
 .. ipython:: python
 
     from pandas.compat import StringIO
 
     pd.read_csv(StringIO(data), sep=';', skiprows=[11, 12],
                 index_col=0, parse_dates=True, header=10)
 
 Option 2: read column names and then data
 """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
 
 .. ipython:: python
 
     pd.read_csv(StringIO(data), sep=';', header=10, nrows=10).columns
     columns = pd.read_csv(StringIO(data), sep=';', header=10, nrows=10).columns
     pd.read_csv(StringIO(data), sep=';', index_col=0,
                 header=12, parse_dates=True, names=columns)
 
 
 .. _cookbook.sql:
 
 SQL
 ***
 
 The :ref:`SQL <io.sql>` docs
 
 `Reading from databases with SQL
 <http://stackoverflow.com/questions/10065051/python-pandas-and-databases-like-mysql>`__
 
 .. _cookbook.excel:
 
 Excel
 *****
 
 The :ref:`Excel <io.excel>` docs
 
 `Reading from a filelike handle
 <http://stackoverflow.com/questions/15588713/sheets-of-excel-workbook-from-a-url-into-a-pandas-dataframe>`__
 
 `Modifying formatting in XlsxWriter output
 <http://pbpython.com/improve-pandas-excel-output.html>`__
 
 .. _cookbook.html:
 
 HTML
 ****
 
 `Reading HTML tables from a server that cannot handle the default request
 header <http://stackoverflow.com/a/18939272/564538>`__
 
 .. _cookbook.hdf:
 
 HDFStore
 ********
 
 The :ref:`HDFStores <io.hdf5>` docs
 
 `Simple Queries with a Timestamp Index
 <http://stackoverflow.com/questions/13926089/selecting-columns-from-pandas-hdfstore-table>`__
 
 `Managing heterogeneous data using a linked multiple table hierarchy
 <http://github.com/pandas-dev/pandas/issues/3032>`__
 
 `Merging on-disk tables with millions of rows
 <http://stackoverflow.com/questions/14614512/merging-two-tables-with-millions-of-rows-in-python/14617925#14617925>`__
 
 `Avoiding inconsistencies when writing to a store from multiple processes/threads
 <http://stackoverflow.com/a/29014295/2858145>`__
 
 De-duplicating a large store by chunks, essentially a recursive reduction operation.",Usage Practice
